trace_count,k0_success_rate_percent,k1_success_rate_percent,full_key_success_rate_percent,known_bit_correct_percent,k0_recovered_count,k1_recovered_count,kx_recovered_count,k0_correct_recovered_count,k1_correct_recovered_count,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
50000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,80,89,0706050423020100,0F0E0D0C2A0A0908
100000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,80,89,0706050423020100,0F0E0D0C2A0A0908
150000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
200000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
250000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
300000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
350000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
400000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
450000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
500000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
550000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
600000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
650000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
700000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
750000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
800000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
850000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
900000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
950000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
1000000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,80,89,0706050423020100,0F0E0D0C2B0A0908
