trace_count,k0_success_rate_percent,k1_success_rate_percent,full_key_success_rate_percent,known_bit_correct_percent,k0_recovered_count,k1_recovered_count,kx_recovered_count,k0_correct_recovered_count,k1_correct_recovered_count,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
50000,89.0625,100.0,94.53125,95.2755905511811,63,64,63,57,64,0,178,142,0303051683020300,0F0E0D0C0B0A0908
100000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
150000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
200000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
250000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
300000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
350000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
400000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
450000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
500000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
550000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
600000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
650000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
700000,87.5,100.0,93.75,94.4,61,64,61,54,64,0,193,127,0303051683000300,0F0E0D0C0B0A0908
750000,87.5,100.0,93.75,94.48818897637796,63,64,63,56,64,0,178,142,0303051683000300,0F0E0D0C0B0A0908
800000,87.5,100.0,93.75,94.4,61,64,61,54,64,0,193,127,0303051683000300,0F0E0D0C0B0A0908
850000,87.5,100.0,93.75,94.4,61,64,61,54,64,0,193,127,0303051683000300,0F0E0D0C0B0A0908
900000,87.5,100.0,93.75,94.4,61,64,61,54,64,0,193,127,0303051683000300,0F0E0D0C0B0A0908
950000,87.5,100.0,93.75,94.4,61,64,61,54,64,0,193,127,0303051683000300,0F0E0D0C0B0A0908
1000000,87.5,100.0,93.75,94.4,61,64,61,54,64,0,193,127,0303051683000300,0F0E0D0C0B0A0908
