trace_count,k0_success_rate_percent,k1_success_rate_percent,full_key_success_rate_percent,known_bit_correct_percent,k0_recovered_count,k1_recovered_count,kx_recovered_count,k0_correct_recovered_count,k1_correct_recovered_count,full_key_match,targets_used,targets_skipped,recovered_k0_hex,recovered_k1_hex
50000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,64,67,07060504030A0100,0F0E0D0C0B020908
100000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,60,71,07060504030A0100,0F0E0D0C0B020908
150000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,62,129,07060504030A0100,0F0E0D0C0B020908
200000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,62,129,07060504030A0100,0F0E0D0C0B020908
250000,98.4375,98.4375,98.4375,98.4375,64,64,64,63,63,0,62,129,07060504030A0100,0F0E0D0C0B020908
300000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
350000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
400000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
450000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
500000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
550000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
600000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
650000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
700000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,70,121,07060504030A0100,0F0E0D0C0B020900
750000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
800000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
850000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
900000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
950000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
1000000,98.4375,96.875,97.65625,97.65625,64,64,64,63,62,0,62,129,07060504030A0100,0F0E0D0C0B020900
